assessment_id,study_id,effect_ids,evidence_stream,title,url,target_results,instrument,instrument_version,profile,domain_1,domain_2,domain_3,domain_4,domain_5,domain_6,domain_7,domain_8,domain_9,domain_10,overall_risk_of_bias,study_specific_note,decision_rationale,appraisal_basis,assessor,assessment_date
RB-ST-39,ST-39,E-40,productivity/delivery,Harness engineering: leveraging Codex in an agent-first world,https://openai.com/index/harness-engineering/,OpenAI — estimated project time; reported effect: 10×,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,2020–2026 tools,jbi_case_high,Case or benchmark criteria clear: Unclear,Inputs and setting described: Yes,Intervention or model identified: Yes,Reference standard credible: No,Runs or cases consecutive/complete: Unclear,Outcomes measured consistently: Unclear,Failures and exclusions reported: No,Analysis appropriate: Unclear,Selective reporting addressed: No,Generalisability bounded: Yes,High,OpenAI,"This is a selected organisational case, small demonstration or repeated single-operator comparison without a concurrent control. Attribution and selective-reporting risks are substantial.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-40,ST-40,E-42,productivity/delivery,Amazon Q Developer just reached a $260 million milestone,https://aws.amazon.com/blogs/devops/amazon-q-developer-just-reached-a-260-million-dollar-milestone/,"Amazon Q migration — estimated effort; reported effect: 4,500 developer-years",JBI-derived software benchmark/case checklist with prespecified overall-risk rule,2020–2026 tools,jbi_case_high,Case or benchmark criteria clear: Unclear,Inputs and setting described: Yes,Intervention or model identified: Yes,Reference standard credible: No,Runs or cases consecutive/complete: Unclear,Outcomes measured consistently: Unclear,Failures and exclusions reported: No,Analysis appropriate: Unclear,Selective reporting addressed: No,Generalisability bounded: Yes,High,AWS production migration disclosure,"This is a selected organisational case, small demonstration or repeated single-operator comparison without a concurrent control. Attribution and selective-reporting risks are substantial.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-41,ST-41,,adjacent outcome,RovoDev Code Reviewer: A Large-Scale Online Evaluation,https://arxiv.org/abs/2601.01129,Primary adjacent outcome family cited in the review,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,2025–2026,jbi_analytical_some,Inclusion criteria defined: Yes,Setting and sample described: Yes,Exposure measured validly: Unclear,Confounders identified: Unclear,Confounders addressed: Unclear,Outcome measured validly: Yes,Analysis appropriate: Yes,Reporting sufficiently complete: Unclear,,,Some concerns,"Atlassian and Monash University, ICSE 2026","The sample and measured outcome are suitable for a descriptive association, but exposure classification, unmeasured confounding or incomplete repository coverage limits causal interpretation.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-42,ST-42,,adjacent outcome,Is Agentic Code Review Helpful?,https://arxiv.org/abs/2607.03316,Primary adjacent outcome family cited in the review,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,2025–2026,jbi_analytical_some,Inclusion criteria defined: Yes,Setting and sample described: Yes,Exposure measured validly: Unclear,Confounders identified: Unclear,Confounders addressed: Unclear,Outcome measured validly: Yes,Analysis appropriate: Yes,Reporting sufficiently complete: Unclear,,,Some concerns,,"The sample and measured outcome are suitable for a descriptive association, but exposure classification, unmeasured confounding or incomplete repository coverage limits causal interpretation.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-43,ST-43,,adjacent outcome,When Code Authors Are Agents: A Large-Scale Study of Human–Agent Collaboration in Pull Requests,https://doi.org/10.1145/3805760.3814909,Primary adjacent outcome family cited in the review,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,2025–2026,jbi_analytical_some,Inclusion criteria defined: Yes,Setting and sample described: Yes,Exposure measured validly: Unclear,Confounders identified: Unclear,Confounders addressed: Unclear,Outcome measured validly: Yes,Analysis appropriate: Yes,Reporting sufficiently complete: Unclear,,,Some concerns,,"The sample and measured outcome are suitable for a descriptive association, but exposure classification, unmeasured confounding or incomplete repository coverage limits causal interpretation.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-44,ST-44,,adjacent outcome,Comparing AI Coding Agents: A Task-Stratified Analysis of Pull Request Acceptance,https://arxiv.org/abs/2602.08915,Primary adjacent outcome family cited in the review,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,2025–2026,jbi_analytical_some,Inclusion criteria defined: Yes,Setting and sample described: Yes,Exposure measured validly: Unclear,Confounders identified: Unclear,Confounders addressed: Unclear,Outcome measured validly: Yes,Analysis appropriate: Yes,Reporting sufficiently complete: Unclear,,,Some concerns,,"The sample and measured outcome are suitable for a descriptive association, but exposure classification, unmeasured confounding or incomplete repository coverage limits causal interpretation.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-45,ST-45,,adjacent outcome,Early Adoption of Agentic Coding Tools by GitHub Projects,https://arxiv.org/abs/2607.14037,Primary adjacent outcome family cited in the review,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,2025–2026,jbi_analytical_some,Inclusion criteria defined: Yes,Setting and sample described: Yes,Exposure measured validly: Unclear,Confounders identified: Unclear,Confounders addressed: Unclear,Outcome measured validly: Yes,Analysis appropriate: Yes,Reporting sufficiently complete: Unclear,,,Some concerns,,"The sample and measured outcome are suitable for a descriptive association, but exposure classification, unmeasured confounding or incomplete repository coverage limits causal interpretation.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-46,ST-46,,adjacent outcome,AI-generated Pull-request Descriptions and Review Outcomes,https://arxiv.org/abs/2402.08967,Primary adjacent outcome family cited in the review,ROBINS-I V2,"draft, 20 November 2025",robins_moderate,Confounding: Moderate,Classification of intervention: Low,Selection into study: Moderate,Missing data: Low,Outcome measurement: Low,Selection of reported result: Moderate,,,,,Moderate,,"The quasi-experimental discontinuity or matching strategy addresses major baseline differences, but residual confounding and analysis-selection risk remain.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-47,ST-47,,adjacent outcome,Automated Code Review in Practice,https://arxiv.org/abs/2412.18531,Primary adjacent outcome family cited in the review,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,2025–2026,jbi_analytical_some,Inclusion criteria defined: Yes,Setting and sample described: Yes,Exposure measured validly: Unclear,Confounders identified: Unclear,Confounders addressed: Unclear,Outcome measured validly: Yes,Analysis appropriate: Yes,Reporting sufficiently complete: Unclear,,,Some concerns,,"The sample and measured outcome are suitable for a descriptive association, but exposure classification, unmeasured confounding or incomplete repository coverage limits causal interpretation.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-48,ST-48,,adjacent outcome,Does GitHub Copilot improve code quality?,https://github.blog/news-insights/research/does-github-copilot-improve-code-quality-heres-what-the-data-says/,Primary adjacent outcome family cited in the review,RoB 2,22 August 2019,rob2_some,Randomisation process: Low,Deviations from intended intervention: Some concerns,Missing outcome data: Low,Outcome measurement: Low,Selection of reported result: Some concerns,,,,,,Some concerns,"Randomisation supports the bounded quality result, but the public report does not expose a complete prespecified analysis record.","Random allocation supports comparability, but open-label tool use and incomplete information about prespecified analysis leave residual concerns.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-49,ST-49,,adjacent outcome,AI-assisted Programming May Decrease the Productivity of Experienced Developers by Increasing Maintenance Burden,https://arxiv.org/abs/2510.10165,Primary adjacent outcome family cited in the review,ROBINS-I V2,"draft, 20 November 2025",robins_serious,Confounding: Serious,Classification of intervention: Moderate,Selection into study: Serious,Missing data: Moderate,Outcome measurement: Moderate,Selection of reported result: Moderate,,,,,Serious,,"AI adoption was not random. Self-selection, concurrent process changes and differences between adopters and controls could explain a material part of the observed association.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-50,ST-50,,adjacent outcome,Debt Behind the AI Boom: A Large-Scale Empirical Study of AI-Generated Code in the Wild,https://arxiv.org/abs/2603.28592,Primary adjacent outcome family cited in the review,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,2025–2026,jbi_analytical_some,Inclusion criteria defined: Yes,Setting and sample described: Yes,Exposure measured validly: Unclear,Confounders identified: Unclear,Confounders addressed: Unclear,Outcome measured validly: Yes,Analysis appropriate: Yes,Reporting sufficiently complete: Unclear,,,Some concerns,,"The sample and measured outcome are suitable for a descriptive association, but exposure classification, unmeasured confounding or incomplete repository coverage limits causal interpretation.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-51,ST-51,,adjacent outcome,AI-assisted Assessment of Coding Practices in Industrial Code Review,https://research.google/pubs/ai-assisted-assessment-of-coding-practices-in-industrial-code-review/,Primary adjacent outcome family cited in the review,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,2025–2026,jbi_analytical_some,Inclusion criteria defined: Yes,Setting and sample described: Yes,Exposure measured validly: Unclear,Confounders identified: Unclear,Confounders addressed: Unclear,Outcome measured validly: Yes,Analysis appropriate: Yes,Reporting sufficiently complete: Unclear,,,Some concerns,Google AutoCommenter,"The sample and measured outcome are suitable for a descriptive association, but exposure classification, unmeasured confounding or incomplete repository coverage limits causal interpretation.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-52,ST-52,,adjacent outcome,AI-Assisted Fixes to Code Review Comments at Scale,https://arxiv.org/abs/2507.13499,Primary adjacent outcome family cited in the review,RoB 2,22 August 2019,rob2_some,Randomisation process: Low,Deviations from intended intervention: Some concerns,Missing outcome data: Low,Outcome measurement: Low,Selection of reported result: Some concerns,,,,,,Some concerns,Randomised safety trials are appraised for the trial result cited; the later production experiment is interpreted separately as observational evidence.,"Random allocation supports comparability, but open-label tool use and incomplete information about prespecified analysis leave residual concerns.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-53,ST-53,,adjacent outcome,Asleep at the Keyboard? Assessing the Security of GitHub Copilot’s Code Contributions,https://doi.org/10.1145/3610721,Primary adjacent outcome family cited in the review,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,2020–2026 tools,jbi_case_some,Case or benchmark criteria clear: Yes,Inputs and setting described: Yes,Intervention or model identified: Yes,Reference standard credible: Unclear,Runs or cases consecutive/complete: Unclear,Outcomes measured consistently: Yes,Failures and exclusions reported: Unclear,Analysis appropriate: Yes,Selective reporting addressed: Unclear,Generalisability bounded: Yes,Some concerns,Communications of the ACM,"The benchmark or case defines its inputs and measured outputs, but prompt selection, reference validity and selective reporting constrain generalisation beyond the evaluated setting.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-54,ST-54,,adjacent outcome,Understanding the Impact of AI Code Assistants on Security API Usage,https://arxiv.org/abs/2607.11348,Primary adjacent outcome family cited in the review,JBI quasi-experimental checklist with prespecified overall-risk rule,2024,jbi_quasi_some,Cause and effect clear: Yes,Participants compared similarly: Unclear,Control group present: Yes,Repeated pre/post measures: Unclear,Follow-up complete: Unclear,Outcomes measured similarly: Yes,Outcomes measured reliably: Yes,Analysis appropriate: Yes,,,Some concerns,,"The intervention precedes the measured outcome and a comparator is present, but allocation concealment, follow-up completeness or repeated pre/post measurement is unclear.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-55,ST-55,,adjacent outcome,GoodVibe: Security-by-Vibe for LLM-Based Code Generation,https://www.usenix.org/conference/usenixsecurity26/presentation/thang,Primary adjacent outcome family cited in the review,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,2020–2026 tools,jbi_case_some,Case or benchmark criteria clear: Yes,Inputs and setting described: Yes,Intervention or model identified: Yes,Reference standard credible: Unclear,Runs or cases consecutive/complete: Unclear,Outcomes measured consistently: Yes,Failures and exclusions reported: Unclear,Analysis appropriate: Yes,Selective reporting addressed: Unclear,Generalisability bounded: Yes,Some concerns,USENIX Security 2026,"The benchmark or case defines its inputs and measured outputs, but prompt selection, reference validity and selective reporting constrain generalisation beyond the evaluated setting.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-56,ST-56,,adjacent outcome,How AI assistance impacts the formation of coding skills,https://www.anthropic.com/research/AI-assistance-coding-skills,Primary adjacent outcome family cited in the review,RoB 2,22 August 2019,rob2_some,Randomisation process: Low,Deviations from intended intervention: Some concerns,Missing outcome data: Low,Outcome measurement: Low,Selection of reported result: Some concerns,,,,,,Some concerns,Anthropic randomised trial,"Random allocation supports comparability, but open-label tool use and incomplete information about prespecified analysis leave residual concerns.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-57,ST-57,,adjacent outcome,Examining the Use and Impact of an AI Code Assistant in the Enterprise,https://research.ibm.com/publications/examining-the-use-and-impact-of-an-ai-code-assistant-on-developer-productivity-and-experience-in-the-enterprise,Primary adjacent outcome family cited in the review,ROBINS-I V2,"draft, 20 November 2025",robins_serious,Confounding: Serious,Classification of intervention: Moderate,Selection into study: Serious,Missing data: Moderate,Outcome measurement: Moderate,Selection of reported result: Moderate,,,,,Serious,"IBM Research, CHI 2025","AI adoption was not random. Self-selection, concurrent process changes and differences between adopters and controls could explain a material part of the observed association.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-58,ST-58,,adjacent outcome,Dear Diary: A Randomized Controlled Trial of Generative AI Coding Tools in the Workplace,https://www.microsoft.com/en-us/research/publication/dear-diary-a-randomized-controlled-trial-of-generative-ai-coding-tools-in-the-workplace/,Primary adjacent outcome family cited in the review,RoB 2,22 August 2019,rob2_some_missing,Randomisation process: Low,Deviations from intended intervention: Some concerns,Missing outcome data: Some concerns,Outcome measurement: Some concerns,Selection of reported result: Some concerns,,,,,,Some concerns,"Randomisation is strong, while diary completion and self-reported productivity create missingness and measurement concerns.","Random allocation is credible, but attrition, diary completion or incomplete outcome capture could differ by condition; selective-reporting information is limited.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-59,ST-59,,adjacent outcome,Reading Between the Lines: Modeling User Behavior and Costs in AI-Assisted Programming,https://www.microsoft.com/en-us/research/?p=894132,Primary adjacent outcome family cited in the review,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,2025–2026,jbi_analytical_some,Inclusion criteria defined: Yes,Setting and sample described: Yes,Exposure measured validly: Unclear,Confounders identified: Unclear,Confounders addressed: Unclear,Outcome measured validly: Yes,Analysis appropriate: Yes,Reporting sufficiently complete: Unclear,,,Some concerns,,"The sample and measured outcome are suitable for a descriptive association, but exposure classification, unmeasured confounding or incomplete repository coverage limits causal interpretation.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-60,ST-60,,adjacent outcome,Self-Admitted GenAI Usage in Open-Source Software,https://doi.org/10.1109/tse.2026.3681886,Primary adjacent outcome family cited in the review,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,2025–2026,jbi_analytical_high,Inclusion criteria defined: Unclear,Setting and sample described: Yes,Exposure measured validly: Unclear,Confounders identified: Unclear,Confounders addressed: No,Outcome measured validly: Unclear,Analysis appropriate: Unclear,Reporting sufficiently complete: Unclear,,,High,,"A small, selected or self-reported sample and limited control of confounding make the measured association vulnerable to substantial selection and measurement bias.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-61,ST-61,,adjacent outcome,A Study of Library Usage in Agent-Authored Pull Requests,https://kclpure.kcl.ac.uk/portal/en/publications/9491a361-b84f-4d93-8b55-a7ed5cca4878,Primary adjacent outcome family cited in the review,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,2025–2026,jbi_analytical_some,Inclusion criteria defined: Yes,Setting and sample described: Yes,Exposure measured validly: Unclear,Confounders identified: Unclear,Confounders addressed: Unclear,Outcome measured validly: Yes,Analysis appropriate: Yes,Reporting sufficiently complete: Unclear,,,Some concerns,,"The sample and measured outcome are suitable for a descriptive association, but exposure classification, unmeasured confounding or incomplete repository coverage limits causal interpretation.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-62,ST-62,,adjacent outcome,Agentic AI-Driven Developer Experience for Telecom Capabilities,http://urn.kb.se/resolve?urn=urn:nbn:se:uu:diva-590043,Primary adjacent outcome family cited in the review,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,2020–2026 tools,jbi_case_high,Case or benchmark criteria clear: Unclear,Inputs and setting described: Yes,Intervention or model identified: Yes,Reference standard credible: No,Runs or cases consecutive/complete: Unclear,Outcomes measured consistently: Unclear,Failures and exclusions reported: No,Analysis appropriate: Unclear,Selective reporting addressed: No,Generalisability bounded: Yes,High,,"This is a selected organisational case, small demonstration or repeated single-operator comparison without a concurrent control. Attribution and selective-reporting risks are substantial.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-63,ST-63,,adjacent outcome,Agentic Much? Adoption of Coding Agents on GitHub,https://doi.org/10.1145/3822180,Primary adjacent outcome family cited in the review,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,2025–2026,jbi_analytical_some,Inclusion criteria defined: Yes,Setting and sample described: Yes,Exposure measured validly: Unclear,Confounders identified: Unclear,Confounders addressed: Unclear,Outcome measured validly: Yes,Analysis appropriate: Yes,Reporting sufficiently complete: Unclear,,,Some concerns,,"The sample and measured outcome are suitable for a descriptive association, but exposure classification, unmeasured confounding or incomplete repository coverage limits causal interpretation.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-64,ST-64,,adjacent outcome,AI based software re-engineering: case AQUATOX,https://trepo.tuni.fi/handle/10024/236191,Primary adjacent outcome family cited in the review,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,2020–2026 tools,jbi_case_high,Case or benchmark criteria clear: Unclear,Inputs and setting described: Yes,Intervention or model identified: Yes,Reference standard credible: No,Runs or cases consecutive/complete: Unclear,Outcomes measured consistently: Unclear,Failures and exclusions reported: No,Analysis appropriate: Unclear,Selective reporting addressed: No,Generalisability bounded: Yes,High,,"This is a selected organisational case, small demonstration or repeated single-operator comparison without a concurrent control. Attribution and selective-reporting risks are substantial.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-65,ST-65,,adjacent outcome,Leveraging Prompt Engineering with AI Coding Assistants to Develop Energy-Efficient Code,https://doi.org/10.36227/techrxiv.175339126.69681777/v1,Primary adjacent outcome family cited in the review,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,2020–2026 tools,jbi_case_some,Case or benchmark criteria clear: Yes,Inputs and setting described: Yes,Intervention or model identified: Yes,Reference standard credible: Unclear,Runs or cases consecutive/complete: Unclear,Outcomes measured consistently: Yes,Failures and exclusions reported: Unclear,Analysis appropriate: Yes,Selective reporting addressed: Unclear,Generalisability bounded: Yes,Some concerns,,"The benchmark or case defines its inputs and measured outputs, but prompt selection, reference validity and selective reporting constrain generalisation beyond the evaluated setting.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-66,ST-66,,adjacent outcome,Analyzing Developer Use of ChatGPT Generated Code in Open Source GitHub Projects,https://doi.org/10.1145/3643991.3645072,Primary adjacent outcome family cited in the review,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,2025–2026,jbi_analytical_high,Inclusion criteria defined: Unclear,Setting and sample described: Yes,Exposure measured validly: Unclear,Confounders identified: Unclear,Confounders addressed: No,Outcome measured validly: Unclear,Analysis appropriate: Unclear,Reporting sufficiently complete: Unclear,,,High,,"A small, selected or self-reported sample and limited control of confounding make the measured association vulnerable to substantial selection and measurement bias.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-67,ST-67,,adjacent outcome,Artificially Insecure: Examining GitHub Copilot’s AI-based Vulnerability Prevention System,https://doi.org/10.1109/svcc65277.2025.11133629,Primary adjacent outcome family cited in the review,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,2020–2026 tools,jbi_case_some,Case or benchmark criteria clear: Yes,Inputs and setting described: Yes,Intervention or model identified: Yes,Reference standard credible: Unclear,Runs or cases consecutive/complete: Unclear,Outcomes measured consistently: Yes,Failures and exclusions reported: Unclear,Analysis appropriate: Yes,Selective reporting addressed: Unclear,Generalisability bounded: Yes,Some concerns,,"The benchmark or case defines its inputs and measured outputs, but prompt selection, reference validity and selective reporting constrain generalisation beyond the evaluated setting.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-68,ST-68,,adjacent outcome,Assessing GitHub Copilot in Solidity Development,https://doi.org/10.1109/access.2024.3486365,Primary adjacent outcome family cited in the review,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,2020–2026 tools,jbi_case_some,Case or benchmark criteria clear: Yes,Inputs and setting described: Yes,Intervention or model identified: Yes,Reference standard credible: Unclear,Runs or cases consecutive/complete: Unclear,Outcomes measured consistently: Yes,Failures and exclusions reported: Unclear,Analysis appropriate: Yes,Selective reporting addressed: Unclear,Generalisability bounded: Yes,Some concerns,,"The benchmark or case defines its inputs and measured outputs, but prompt selection, reference validity and selective reporting constrain generalisation beyond the evaluated setting.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-69,ST-69,E-43,productivity/delivery,Building web applications with AI: a comparative study,http://www.theseus.fi/handle/10024/923044,Three AI web-app tools — development time; reported effect: Cursor 13 min; ChatGPT 27 min,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,2020–2026 tools,jbi_case_high,Case or benchmark criteria clear: Unclear,Inputs and setting described: Yes,Intervention or model identified: Yes,Reference standard credible: No,Runs or cases consecutive/complete: Unclear,Outcomes measured consistently: Unclear,Failures and exclusions reported: No,Analysis appropriate: Unclear,Selective reporting addressed: No,Generalisability bounded: Yes,High,One developer repeated tool-specific builds without a manual baseline.,"This is a selected organisational case, small demonstration or repeated single-operator comparison without a concurrent control. Attribution and selective-reporting risks are substantial.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-70,ST-70,E-44,productivity/delivery,Can generative AI bridge the gap?,https://doi.org/10.1007/s10664-026-10813-7,Non-programmers with AI — task time; reported effect: Shorter on bounded tasks,JBI quasi-experimental checklist with prespecified overall-risk rule,2024,jbi_quasi_high,Cause and effect clear: Yes,Participants compared similarly: No,Control group present: Unclear,Repeated pre/post measures: No,Follow-up complete: Unclear,Outcomes measured similarly: Yes,Outcomes measured reliably: Unclear,Analysis appropriate: Unclear,,,High,"AI access is confounded with programming experience, so group differences cannot isolate the tool effect.","The comparison is weakly controlled or materially confounded, and incomplete reporting prevents the observed difference from being attributed securely to AI assistance.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-71,ST-71,,adjacent outcome,Can LLMs Generate Higher Quality Code Than Humans?,https://doi.org/10.1109/msr66628.2025.00081,Primary adjacent outcome family cited in the review,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,2020–2026 tools,jbi_case_some,Case or benchmark criteria clear: Yes,Inputs and setting described: Yes,Intervention or model identified: Yes,Reference standard credible: Unclear,Runs or cases consecutive/complete: Unclear,Outcomes measured consistently: Yes,Failures and exclusions reported: Unclear,Analysis appropriate: Yes,Selective reporting addressed: Unclear,Generalisability bounded: Yes,Some concerns,,"The benchmark or case defines its inputs and measured outputs, but prompt selection, reference validity and selective reporting constrain generalisation beyond the evaluated setting.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-72,ST-72,,adjacent outcome,Coding Agents in the Wild,https://doi.org/10.1109/access.2026.3696573,Primary adjacent outcome family cited in the review,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,2025–2026,jbi_analytical_some,Inclusion criteria defined: Yes,Setting and sample described: Yes,Exposure measured validly: Unclear,Confounders identified: Unclear,Confounders addressed: Unclear,Outcome measured validly: Yes,Analysis appropriate: Yes,Reporting sufficiently complete: Unclear,,,Some concerns,,"The sample and measured outcome are suitable for a descriptive association, but exposure classification, unmeasured confounding or incomplete repository coverage limits causal interpretation.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-73,ST-73,,adjacent outcome,The influence of AI programming assistants on collaboration in software teams,https://resolver.obvsg.at/urn:nbn:at:at-ubl:1-104661,Primary adjacent outcome family cited in the review,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,2025–2026,jbi_analytical_high,Inclusion criteria defined: Unclear,Setting and sample described: Yes,Exposure measured validly: Unclear,Confounders identified: Unclear,Confounders addressed: No,Outcome measured validly: Unclear,Analysis appropriate: Unclear,Reporting sufficiently complete: Unclear,,,High,,"A small, selected or self-reported sample and limited control of confounding make the measured association vulnerable to substantial selection and measurement bias.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-74,ST-74,,adjacent outcome,Disrupting Test Development with AI Assistants,https://doi.org/10.1109/iaict65714.2025.11101520,Primary adjacent outcome family cited in the review,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,2020–2026 tools,jbi_case_high,Case or benchmark criteria clear: Unclear,Inputs and setting described: Yes,Intervention or model identified: Yes,Reference standard credible: No,Runs or cases consecutive/complete: Unclear,Outcomes measured consistently: Unclear,Failures and exclusions reported: No,Analysis appropriate: Unclear,Selective reporting addressed: No,Generalisability bounded: Yes,High,,"This is a selected organisational case, small demonstration or repeated single-operator comparison without a concurrent control. Attribution and selective-reporting risks are substantial.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
RB-ST-75,ST-75,,adjacent outcome,Domain ambiguity in AI-assisted software development,http://urn.kb.se/resolve?urn=urn:nbn:se:kau:diva-110473,Primary adjacent outcome family cited in the review,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,2020–2026 tools,jbi_case_high,Case or benchmark criteria clear: Unclear,Inputs and setting described: Yes,Intervention or model identified: Yes,Reference standard credible: No,Runs or cases consecutive/complete: Unclear,Outcomes measured consistently: Unclear,Failures and exclusions reported: No,Analysis appropriate: Unclear,Selective reporting addressed: No,Generalisability bounded: Yes,High,,"This is a selected organisational case, small demonstration or repeated single-operator comparison without a concurrent control. Attribution and selective-reporting risks are substantial.",Linked report and methods/results information available to the single AI-assisted reviewer,Single AI-assisted reviewer; not independently duplicated,2026-07-29
