study_id,title,effect_ids,evidence_stream,evidence_weight,overall_risk_of_bias,appraisal_instrument,weight_basis,main_limitation,grade_source,assessment_date
ST-83,From Specifications to Implementation in the Gen-AI Era,,adjacent outcome,low,High,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,"Weakly controlled, self-reported or descriptive adjacent evidence with material attribution, directness or precision limitations.","A small, selected or self-reported sample and limited control of confounding make the measured association vulnerable to substantial selection and measurement bias.",prisma/report-assessments.csv,2026-08-04
ST-84,GitHub Copilot Developer Experience: Novice and Experienced Developers,,adjacent outcome,low,High,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,"Weakly controlled, self-reported or descriptive adjacent evidence with material attribution, directness or precision limitations.","A small, selected or self-reported sample and limited control of confounding make the measured association vulnerable to substantial selection and measurement bias.",prisma/report-assessments.csv,2026-08-04
ST-85,How Do Developers Interact with AI?,,adjacent outcome,moderate,Some concerns,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","The sample and measured outcome are suitable for a descriptive association, but exposure classification, unmeasured confounding or incomplete repository coverage limits causal interpretation.",prisma/report-assessments.csv,2026-08-04
ST-86,How far are AI-powered programming assistants from meeting developers’ needs?,E-45,productivity/delivery,low,High,JBI quasi-experimental checklist with prespecified overall-risk rule,Study-level grade inherited from the linked productivity effects; all effects from this study carry the same grade.,The small student sample and censoring materially affect the reported time comparison.,operating-model-audit.csv,2026-08-04
ST-87,How Safe Are AI-Generated Patches?,,adjacent outcome,moderate,Some concerns,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","The benchmark or case defines its inputs and measured outputs, but prompt selection, reference validity and selective reporting constrain generalisation beyond the evaluated setting.",prisma/report-assessments.csv,2026-08-04
ST-88,Human-Written vs. AI-Generated Code,,adjacent outcome,moderate,Some concerns,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","The benchmark or case defines its inputs and measured outputs, but prompt selection, reference validity and selective reporting constrain generalisation beyond the evaluated setting.",prisma/report-assessments.csv,2026-08-04
ST-89,LLM impact on blind and low-vision programming,,adjacent outcome,moderate,High,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","A small, selected or self-reported sample and limited control of confounding make the measured association vulnerable to substantial selection and measurement bias.",prisma/report-assessments.csv,2026-08-04
ST-90,Multi-Simulation as Labor Compression,,adjacent outcome,low,High,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,"Weakly controlled, self-reported or descriptive adjacent evidence with material attribution, directness or precision limitations.","This is a selected organisational case, small demonstration or repeated single-operator comparison without a concurrent control. Attribution and selective-reporting risks are substantial.",prisma/report-assessments.csv,2026-08-04
ST-91,On the Use of Agentic Coding,,adjacent outcome,moderate,Some concerns,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","The sample and measured outcome are suitable for a descriptive association, but exposure classification, unmeasured confounding or incomplete repository coverage limits causal interpretation.",prisma/report-assessments.csv,2026-08-04
ST-92,Security Weaknesses in LLM-Generated Source Code,,adjacent outcome,moderate,Some concerns,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","The benchmark or case defines its inputs and measured outputs, but prompt selection, reference validity and selective reporting constrain generalisation beyond the evaluated setting.",prisma/report-assessments.csv,2026-08-04
ST-93,"Seniority, Spillovers, and AI-Enhanced Code Contributions",E-46,productivity/delivery,moderate,Serious,ROBINS-I V2,Study-level grade inherited from the linked productivity effects; all effects from this study carry the same grade.,"Phased rollout provides temporal variation, but seniority, adoption and team spillovers remain non-random.",operating-model-audit.csv,2026-08-04
ST-94,Tab to Autocomplete: AI Coding Assistants and Web Accessibility,,adjacent outcome,moderate,Some concerns,JBI quasi-experimental checklist with prespecified overall-risk rule,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","The intervention precedes the measured outcome and a comparator is present, but allocation concealment, follow-up completeness or repeated pre/post measurement is unclear.",prisma/report-assessments.csv,2026-08-04
ST-95,The Impact of Generative AI Coding Assistants on Developers Who Are Visually Impaired,,adjacent outcome,moderate,High,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","A small, selected or self-reported sample and limited control of confounding make the measured association vulnerable to substantial selection and measurement bias.",prisma/report-assessments.csv,2026-08-04
ST-96,Understanding and Predicting Accepted Code Suggestions in AI-Assisted Programming,,adjacent outcome,moderate,Some concerns,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","The sample and measured outcome are suitable for a descriptive association, but exposure classification, unmeasured confounding or incomplete repository coverage limits causal interpretation.",prisma/report-assessments.csv,2026-08-04
ST-97,AgenticFlict: A Large-Scale Dataset of Merge Conflicts in AI Coding Agent Pull Requests,,adjacent outcome,moderate,Some concerns,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","The sample and measured outcome are suitable for a descriptive association, but exposure classification, unmeasured confounding or incomplete repository coverage limits causal interpretation.",prisma/report-assessments.csv,2026-08-04
ST-98,Evaluating AI-Generated T-SQL Code Review Reports in an Enterprise-Scale Codebase,,adjacent outcome,low,Some concerns,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,"Weakly controlled, self-reported or descriptive adjacent evidence with material attribution, directness or precision limitations.","The benchmark or case defines its inputs and measured outputs, but prompt selection, reference validity and selective reporting constrain generalisation beyond the evaluated setting.",prisma/report-assessments.csv,2026-08-04
ST-99,What Do AI Agents Actually Change?,,adjacent outcome,moderate,Some concerns,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","The sample and measured outcome are suitable for a descriptive association, but exposure classification, unmeasured confounding or incomplete repository coverage limits causal interpretation.",prisma/report-assessments.csv,2026-08-04
ST-100,More than a Judge: Agent–Human Interaction in Crowdsourced Testing Assessment,,adjacent outcome,moderate,Some concerns,JBI quasi-experimental checklist with prespecified overall-risk rule,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","The staged human-subject comparison measured report quality directly, but the small sample and incomplete allocation details limit attribution.",prisma/journal-report-assessments.csv,2026-08-04
ST-101,On Developers’ Self-Declaration of AI-Generated Code,,adjacent outcome,moderate,Some concerns,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","Repository mining and a follow-up survey provide convergent evidence, while self-declaration and respondent selection remain incomplete measures of practice.",prisma/journal-report-assessments.csv,2026-08-04
ST-102,Understanding and Enhancing CS Students’ Interaction Experience with AI Coding Assistant Tools,,adjacent outcome,moderate,Some concerns,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","Instrumented interaction data are direct, but the small student sample and lack of a concurrent no-assistant comparator limit causal interpretation.",prisma/journal-report-assessments.csv,2026-08-04
ST-103,Unveiling the Role of ChatGPT in Software Development,,adjacent outcome,moderate,Some concerns,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","The large public conversation dataset supports descriptive use patterns, but shared links are a selected subset of developer interactions.",prisma/journal-report-assessments.csv,2026-08-04
ST-104,AI Support for Data Scientists,,adjacent outcome,moderate,Some concerns,JBI quasi-experimental checklist with prespecified overall-risk rule,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","The mixed-method user study measures recommendation acceptance directly, although the sample and workflow are narrow.",prisma/journal-report-assessments.csv,2026-08-04
ST-105,Developers’ Shared Conversations with ChatGPT in GitHub Pull Requests and Issues,,adjacent outcome,moderate,Some concerns,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","Publicly shared GitHub conversations are observable but selected, and conversation sharing may not represent typical assistant use.",prisma/journal-report-assessments.csv,2026-08-04
ST-106,How Students Use Generative AI for Software Testing,,adjacent outcome,moderate,High,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","Only 12 students were observed, with no independent non-AI comparison; null quality differences are imprecise.",prisma/journal-report-assessments.csv,2026-08-04
ST-107,What Makes ChatGPT Effective for Software Issue Resolution?,,adjacent outcome,moderate,Some concerns,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","Issue outcomes and conversations are directly observed, but project, task and developer differences remain confounded.",prisma/journal-report-assessments.csv,2026-08-04
ST-108,AI-Assisted Collaboration: GitHub Copilot and Windsurf,,adjacent outcome,low,High,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,"Weakly controlled, self-reported or descriptive adjacent evidence with material attribution, directness or precision limitations.","The three-month fintech case combines telemetry and reflection without a concurrent control, making reported productivity effects difficult to attribute.",prisma/journal-report-assessments.csv,2026-08-04
ST-109,From Disruptions to Discussions,,adjacent outcome,moderate,Some concerns,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","Experience sampling, interviews and a follow-up professional survey triangulate collaboration effects, but the outcomes remain largely self-reported.",prisma/journal-report-assessments.csv,2026-08-04
ST-110,How Can ChatGPT Support Human Security Testers?,,adjacent outcome,moderate,Some concerns,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","The benchmark uses concrete vulnerable applications and reproducible attack evidence, but prompt construction and selected cases bound generalisability.",prisma/journal-report-assessments.csv,2026-08-04
ST-111,LLM-Based Test-Driven Interactive Code Generation,,adjacent outcome,moderate,Some concerns,JBI quasi-experimental checklist with prespecified overall-risk rule,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","The user study measured evaluation accuracy and cognitive load directly, but the sample was small and allocation details were incomplete.",prisma/journal-report-assessments.csv,2026-08-04
ST-112,Do Comments and Expertise Still Matter?,,adjacent outcome,high,Some concerns,JBI quasi-experimental checklist with prespecified overall-risk rule,"Controlled primary adjacent outcome with a credible comparator, direct measure and no identified material limitation likely to reverse the interpretation.","The between-subjects experiment provides an objective adoption measure, while the bounded online task and incomplete randomisation reporting constrain generalisation.",prisma/journal-report-assessments.csv,2026-08-04
ST-113,"Problems, Causes and Solutions in AI Pair Programming",,adjacent outcome,moderate,Some concerns,JBI analytical cross-sectional/cohort checklist with prespecified overall-risk rule,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","Repository issues, discussions and Stack Overflow posts provide a broad observed sample, but reporting behaviour and platform selection affect coverage.",prisma/journal-report-assessments.csv,2026-08-04
ST-114,“Will I Be Replaced?” ChatGPT and Programmer Perceptions,,adjacent outcome,low,High,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,"Weakly controlled, self-reported or descriptive adjacent evidence with material attribution, directness or precision limitations.","The coding benchmark and programmer survey are informative, but they do not compare an identifiable workplace workflow against a concurrent control.",prisma/journal-report-assessments.csv,2026-08-04
ST-115,Is GitHub’s Copilot as Bad as Humans at Introducing Vulnerabilities in Code?,,adjacent outcome,moderate,Some concerns,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","Historical vulnerability scenarios provide a concrete security reference, but prompt construction and selected C/C++ cases limit generalisation to workplace defect rates.",prisma/journal-report-assessments.csv,2026-08-04
ST-116,GitHub Copilot AI Pair Programmer: Asset or Liability?,,adjacent outcome,moderate,Some concerns,JBI-derived software benchmark/case checklist with prespecified overall-risk rule,"Useful comparative or directly measured adjacent evidence with residual bias, confounding, indirectness or precision limitations.","The benchmark compares generated and human solutions directly, but selected algorithmic tasks and reference data do not represent a concurrent professional workflow.",prisma/journal-report-assessments.csv,2026-08-04
